Experiment,GainMode,Trajectory,tf,RMSE_X,RMSE_Y,RMSE_Z,RMSE_Total
A,baseline,circle,15.0,0.026402641004656707,0.16163840153844045,0.03177059499055003,0.09632141162098291
A,baseline,diamond,8.0,0.016064923840975076,0.041344229658238314,0.03300221881684223,0.0319195527897046
B,low_kd,circle,15.0,0.021925375575815444,0.1904177766328896,0.0373087860161282,0.11274099707729937
B,low_kd,diamond,8.0,0.019264418981514785,0.032718953849519325,0.038999653911964825,0.031425153327418874
C,low_kp,circle,15.0,0.04900442538097474,0.20863421525213635,0.04692905187768508,0.12666491936198268
C,low_kp,diamond,8.0,0.0220453627436755,0.07639061046801048,0.06115097077811063,0.057910749184358075
D1,baseline,circle,8,0.025869112314546836,0.14804104391223258,0.03422084482224114,0.08898769179857426
D2,baseline,circle,10,0.02835162404799233,0.1341037128769237,0.03104552235999083,0.08114071080976094
D3,baseline,circle,12,0.02940214290365826,0.17961913796991688,0.03433625574262695,0.1069368960194224
D4,baseline,circle,15,0.026402641004656707,0.16163840153844045,0.03177059499055003,0.09632141162098291
D5,baseline,circle,18,0.02423625406436506,0.14755502968974357,0.029006771446785602,0.08794179057304444
D6,baseline,circle,20,0.02299254280463505,0.13998299221416727,0.027518239970797997,0.08342890918809266
D1,baseline,diamond,6,0.018412979731391436,0.04198175037382167,0.038038087735996214,0.034391865829242495
D2,baseline,diamond,8,0.016064923840975076,0.041344229658238314,0.03300221881684223,0.0319195527897046
D3,baseline,diamond,10,0.01932395859373766,0.03761299850754818,0.029558579430106664,0.0297873723266937
D4,baseline,diamond,12,0.017735163143259892,0.03434836602956336,0.026987140233849835,0.02721918440255195
D5,baseline,diamond,15,0.01586282596064811,0.03072211470815164,0.024138035170324132,0.02434558359321353
D6,baseline,diamond,18,0.014480712697239021,0.02804532540385485,0.022034910607680147,0.022224375527158915
